Stimulus Name,Respondent Name,Gender,Age,Group,Fixation Number(per AOI),Fixation Centroid X,Fixation Centroid Y,Fixation StartMs,Duration Ms,AOI Label,Fixation Sequence(Across AOIs)
Survey-Starting-Agreement,P02,Female,22,G1,14,1382.1,234,3745.2001,166.54675,N/A,14
Survey-Starting-Agreement,P02,Female,22,G1,15,1327.64285714286,230,3928.4017,116.58265,N/A,15
Survey-Starting-Agreement,P02,Female,22,G1,16,1572875,233.3125,4094.94855,133.23755,N/A,16
Survey-Starting-Agreement,P02,Female,22,G1,17,282.166666666667,227,4328.1136,99.9286000000002,N/A,17
Survey-Starting-Agreement,P02,Female,22,G1,18,178.5,241.722222222222,4478.00585,149.892249999999,N/A,18
Survey-Starting-Agreement,P02,Female,22,G1,19,381.1875,248.25,4661.2079,266.4746,N/A,19
Survey-Starting-Agreement,P02,Female,22,G1,20,479.541666666667,240.333333333333,4960.99195,199.85625,N/A,20
Survey-Starting-Agreement,P02,Female,22,G1,21,568.45,229.55,5210.81265,166.546699999999,N/A,21
Survey-Starting-Agreement,P02,Female,22,G1,22,750625,233.6875,5427.32365,133.237249999999,N/A,22
Survey-Starting-Agreement,P02,Female,22,G1,23,873.090909090909,245,5610.52445,183.20165,N/A,23
Survey-Starting-Agreement,P02,Female,22,G1,24,1125.96875,241.828125,5860.34455,532.95,N/A,24
Survey-Starting-Agreement,P02,Female,22,G1,25,1233375,250375,6443.25885,66.6192499999997,N/A,25
Survey-Starting-Agreement,P02,Female,22,G1,26,1342.8,258.5,6559.84125,166.5476,N/A,26
Survey-Starting-Agreement,P02,Female,22,G1,27,1457.35,242.35,6776.35355,166.5465,N/A,27
Survey-Starting-Agreement,P02,Female,22,G1,28,1569375,251.541666666667,6992.86385,199.85595,N/A,28
Survey-Starting-Agreement,P02,Female,22,G1,29,1671.2,237.7,7242.6845,83.2734,N/A,29
Survey-Starting-Agreement,P02,Female,22,G1,30,180.821428571429,284.714285714286,7692.36105,233.1654,N/A,30
Survey-Starting-Agreement,P02,Female,22,G1,31,508.333333333333,266.583333333333,8408.5126,99.9273500000018,N/A,31
Survey-Starting-Agreement,P02,Female,22,G1,32,666.333333333333,272.611111111111,8558.40495,149.891450000001,N/A,32
Survey-Starting-Agreement,P02,Female,22,G1,33,826.75,307.15,8774.91525,166.547750000002,N/A,33
Survey-Starting-Agreement,P02,Female,22,G1,34,1084.58,301.42,9008081,416.36735,N/A,34
Survey-Starting-Agreement,P02,Female,22,G1,35,1282.25,305.45,9491.0673,166.546850000001,N/A,35
Survey-Starting-Agreement,P02,Female,22,G1,36,1526375,298625,9724.23275,133.2369,N/A,36
Survey-Starting-Agreement,P02,Female,22,G1,37,1637.45454545455,290.636363636364,9907.4333,183.202599999999,N/A,37
Survey-Starting-Agreement,P02,Female,22,G1,38,322.571428571429,373.857142857143,10190.5643,116.582750000001,N/A,38
Survey-Starting-Agreement,P02,Female,22,G1,39,184875,395.25,10357.11105,133.237499999999,N/A,39
Survey-Starting-Agreement,P02,Female,22,G1,40,155.708333333333,414,10507.00305,199.855599999999,N/A,40
Survey-Starting-Agreement,P02,Female,22,G1,41,267.615384615385,406.615384615385,10740.16895,216.5108,N/A,41
Survey-Starting-Agreement,P02,Female,22,G1,42,409.4,406.3,11006.6448,83.2721500000007,N/A,42
Survey-Starting-Agreement,P02,Female,22,G1,43,640.083333333333,396.666666666667,11156.5363,199.855299999999,N/A,43
Survey-Starting-Agreement,P02,Female,22,G1,44,897.055555555556,424.722222222222,11406.35585,149.892349999998,N/A,44
Survey-Starting-Agreement,P02,Female,22,G1,45,862.454545454546,425.272727272727,11572.9024,183.202499999999,N/A,45
Survey-Starting-Agreement,P02,Female,22,G1,46,999.034482758621,433.793103448276,11822.72335,482.985550000001,N/A,46
Survey-Starting-Agreement,P02,Female,22,G1,47,1201.15,432425,12355.6735,333.0936,N/A,47
Survey-Starting-Agreement,P02,Female,22,G1,48,1540.13636363636,415.818181818182,12738.73075,183.201949999999,N/A,48
Survey-Starting-Agreement,P02,Female,22,G1,49,1447.36363636364,411.090909090909,12955.24155,183.203099999999,N/A,49
Survey-Starting-Agreement,P02,Female,22,G1,50,1607.33333333333,396.166666666667,13188.40815,149.89205,N/A,50
Survey-Starting-Agreement,P02,Female,22,G1,51,170.964285714286,472.214285714286,13654.7387,233.16545,N/A,51
Survey-Starting-Agreement,P02,Female,22,G1,52,308.636363636364,447.636363636364,13937.8693,183.2011,N/A,52
Survey-Starting-Agreement,P02,Female,22,G1,53,547.681818181818,457.727272727273,14187.68875,183.201500000001,N/A,53
Survey-Starting-Agreement,P02,Female,22,G1,54,279.181818181818,471.136363636364,14437.5092,183.202549999998,N/A,54
Survey-Starting-Agreement,P02,Female,22,G1,55,499.444444444444,477.777777777778,14654.0199,149.89215,N/A,55
Survey-Starting-Agreement,P02,Female,22,G1,56,788.272727272727,478.954545454545,14870.5308,183.202149999999,N/A,56
Survey-Starting-Agreement,P02,Female,22,G1,57,751.0625,472.25,15070.3874,133.237499999999,N/A,57
Survey-Starting-Agreement,P02,Female,22,G1,58,1052.77777777778,491.555555555556,15253.5891,149.891900000002,N/A,58
Survey-Starting-Agreement,P02,Female,22,G1,59,996.333333333333,474.388888888889,15436.78995,149.89285,N/A,59
Survey-Starting-Agreement,P02,Female,22,G1,60,1219.92857142857,467.785714285714,15686.6112,233.1656,N/A,60
Survey-Starting-Agreement,P02,Female,22,G1,61,1320.66666666667,462.75,15969.7404,99.928899999999,N/A,61
Survey-Starting-Agreement,P02,Female,22,G1,62,1627.55555555556,465.888888888889,16119.63275,149.892549999999,N/A,62
